Date,Country/Region,Confirmed
2021/12/16,Afghanistan,157725
2021/12/17,Afghanistan,157734
2021/12/18,Afghanistan,157745
2021/12/19,Afghanistan,157787
2021/12/20,Afghanistan,157797
2021/12/21,Afghanistan,157816
2021/12/22,Afghanistan,157841
2021/12/23,Afghanistan,157878
2021/12/24,Afghanistan,157887
2021/12/25,Afghanistan,157895
2021/12/26,Afghanistan,157951
2021/12/27,Afghanistan,157967
2020/01/22,Albania,0
2020/01/23,Albania,0
2020/01/24,Albania,0
2020/01/25,Albania,0
2020/01/26,Albania,0
2020/01/27,Albania,0
2020/01/28,Albania,0
2020/01/29,Albania,0
2020/01/30,Albania,0
2020/01/31,Albania,0
2020/02/01,Albania,0
2020/02/02,Albania,0
2020/02/03,Albania,0
2020/02/04,Albania,0
2020/02/05,Albania,0
2020/02/06,Albania,0
2020/02/07,Albania,0
2020/02/08,Albania,0
2020/02/09,Albania,0
2020/02/10,Albania,0
2020/02/11,Albania,0
2020/02/12,Albania,0
2020/02/13,Albania,0
2020/02/14,Albania,0
2020/02/15,Albania,0
2020/02/16,Albania,0
2020/02/17,Albania,0
2020/02/18,Albania,0
2020/02/19,Albania,0
2020/02/20,Albania,0
2020/02/21,Albania,0
2020/02/22,Albania,0
2020/02/23,Albania,0
2020/02/24,Albania,0
2020/02/25,Albania,0
2020/02/26,Albania,0
2020/02/27,Albania,0
2020/02/28,Albania,0
2020/02/29,Albania,0
2020/03/01,Albania,0
2020/03/02,Albania,0
2020/03/03,Albania,0
2020/03/04,Albania,0
2020/03/05,Albania,0
2020/03/06,Albania,0
2020/03/07,Albania,0
2020/03/08,Albania,0
2020/03/09,Albania,2
2020/03/10,Albania,10
2020/03/11,Albania,12
2020/03/12,Albania,23
2020/03/13,Albania,33
2020/03/14,Albania,38
2020/03/15,Albania,42
2020/03/16,Albania,51
2020/03/17,Albania,55
2020/03/18,Albania,59
2020/03/19,Albania,64
2020/03/20,Albania,70
2020/03/21,Albania,76
2020/03/22,Albania,89
2020/03/23,Albania,104
2020/03/24,Albania,123
2020/03/25,Albania,146
2020/03/26,Albania,174
2020/03/27,Albania,186
2020/03/28,Albania,197
2020/03/29,Albania,212
2020/03/30,Albania,223
2020/03/31,Albania,243
2020/04/01,Albania,259
2020/04/02,Albania,277
2020/04/03,Albania,304
2020/04/04,Albania,333
2020/04/05,Albania,361
2020/04/06,Albania,377
2020/04/07,Albania,383
2020/04/08,Albania,400
2020/04/09,Albania,409
2020/04/10,Albania,416
2020/04/11,Albania,433
2020/04/12,Albania,446
2020/04/13,Albania,467
2020/04/14,Albania,475
2020/04/15,Albania,494
2020/04/16,Albania,518
2020/04/17,Albania,539
2020/04/18,Albania,548
2020/04/19,Albania,562
2020/04/20,Albania,584
2020/04/21,Albania,609
2020/04/22,Albania,634
2020/04/23,Albania,663
2020/04/24,Albania,678
2020/04/25,Albania,712
2020/04/26,Albania,726
2020/04/27,Albania,736
2020/04/28,Albania,750
2020/04/29,Albania,766
2020/04/30,Albania,773
2020/05/01,Albania,782
2020/05/02,Albania,789
2020/05/03,Albania,795
2020/05/04,Albania,803
2020/05/05,Albania,820
2020/05/06,Albania,832
2020/05/07,Albania,842
2020/05/08,Albania,850
2020/05/09,Albania,856
2020/05/10,Albania,868
2020/05/11,Albania,872
2020/05/12,Albania,876
2020/05/13,Albania,880
2020/05/14,Albania,898
2020/05/15,Albania,916
2020/05/16,Albania,933
2020/05/17,Albania,946
2020/05/18,Albania,948
2020/05/19,Albania,949
2020/05/20,Albania,964
2020/05/21,Albania,969
2020/05/22,Albania,981
2020/05/23,Albania,989
2020/05/24,Albania,998
2020/05/25,Albania,1004
2020/05/26,Albania,1029
2020/05/27,Albania,1050
2020/05/28,Albania,1076
2020/05/29,Albania,1099
2020/05/30,Albania,1122
2020/05/31,Albania,1137
2020/06/01,Albania,1143
2020/06/02,Albania,1164
2020/06/03,Albania,1184
2020/06/04,Albania,1197
2020/06/05,Albania,1212
2020/06/06,Albania,1232
2020/06/07,Albania,1246
2020/06/08,Albania,1263
2020/06/09,Albania,1299
2020/06/10,Albania,1341
2020/06/11,Albania,1385
2020/06/12,Albania,1416
2020/06/13,Albania,1464
2020/06/14,Albania,1521
2020/06/15,Albania,1590
2020/06/16,Albania,1672
2020/06/17,Albania,1722
2020/06/18,Albania,1788
2020/06/19,Albania,1838
2020/06/20,Albania,1891
2020/06/21,Albania,1962
2020/06/22,Albania,1995
